# Query Group 1 Filters: diseases: Alzheimer disease | tissues: brain | cellTypes: neuron
# Query Group 2 Filters: diseases: normal | tissues: brain | cellTypes: neuron
Gene,Log Fold Change,Effect Size,Adjusted P-Value
RP11-259P6.3,-0.000,-0.001,1.818e-1
RP11-1118M6.2,-0.000,-0.001,1.818e-1
RN7SL321P,-0.000,-0.001,1.818e-1
AC008103.4,-0.000,-0.001,1.818e-1
GS1-24F4.3,-0.000,-0.001,1.818e-1
IGLV3-9,-0.000,-0.001,1.818e-1
RP11-3M1.3,-0.000,-0.001,1.818e-1
RP11-362H12.2,-0.000,-0.001,1.818e-1
RPL30P1,-0.000,-0.001,1.818e-1
OR8F1P,-0.000,-0.001,1.818e-1
MIR593,-0.000,-0.001,1.818e-1
RN7SL713P,-0.000,-0.001,1.818e-1
KB-1043D8.8,-0.000,-0.001,1.818e-1
WBP1LP3,-0.000,-0.001,1.818e-1
RP11-379K17.5,-0.000,-0.001,1.818e-1
MIR6884,-0.000,-0.001,1.818e-1
MTCYBP12,-0.000,-0.001,1.818e-1
TRAV1-1,-0.000,-0.001,1.818e-1
RP11-79C6.1,-0.000,-0.001,1.818e-1
CICP9,-0.000,-0.001,1.818e-1
RP11-399F4.2,-0.000,-0.001,1.818e-1
Metazoa_SRP_ENSG00000275978,-0.000,-0.001,1.818e-1
FDPSP6,-0.000,-0.001,1.818e-1
PRELID3BP3,-0.000,-0.001,1.818e-1
RNU6-753P,-0.000,-0.001,1.818e-1
RP11-344N17.11,-0.000,-0.001,1.818e-1
SNRPEP3,-0.000,-0.001,1.818e-1
RNU6ATAC22P,-0.000,-0.001,1.818e-1
RP11-159D8.2,-0.000,-0.001,1.818e-1
RPS29P6,-0.000,-0.001,1.818e-1
RP13-895J2.13,-0.000,-0.001,1.818e-1
RP11-278L15.4,-0.000,-0.001,1.818e-1
AP000593.5,-0.000,-0.001,1.818e-1
RP13-379L11.2,-0.000,-0.001,1.818e-1
RP11-696E24.2,-0.000,-0.001,1.818e-1
RN7SL446P,-0.000,-0.001,1.818e-1
CH17-128G5.1,-0.000,-0.001,1.818e-1
HNRNPA1P65,-0.000,-0.001,1.818e-1
MIR6836,-0.000,-0.001,1.818e-1
BIRC8,-0.000,-0.001,1.818e-1
RPL7P30,-0.000,-0.001,1.818e-1
CTC-250I14.7,-0.000,-0.001,1.818e-1
HNRNPA1P58,-0.000,-0.001,1.818e-1
ILF2P2,-0.000,-0.001,1.818e-1
RP11-16B9.3,-0.000,-0.001,1.818e-1
RP11-736K20.4,-0.000,-0.001,1.818e-1
RN7SL692P,-0.000,-0.001,1.818e-1
Metazoa_SRP_ENSG00000278007,-0.000,-0.001,1.818e-1
RP11-82O2.2,-0.000,-0.001,1.818e-1
RPSAP50,-0.000,-0.001,1.818e-1
RP11-566F5.2,-0.000,-0.001,1.818e-1
H3P9,-0.000,-0.001,1.818e-1
RP11-395N6.4,-0.000,-0.001,1.818e-1
RP11-861L17.4,-0.000,-0.001,1.818e-1
MIR6859-4,-0.000,-0.001,1.818e-1
RP11-80F22.15,-0.000,-0.001,1.818e-1
RNU4-89P,-0.000,-0.001,1.818e-1
PHBP10,-0.000,-0.001,1.818e-1
RP5-1057J7.1,-0.000,-0.001,1.818e-1
RP11-745A24.2,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000207292,-0.000,-0.001,1.818e-1
RP11-174O3.6,-0.000,-0.001,1.818e-1
RP11-857B24.3,-0.000,-0.001,1.818e-1
RP11-528M18.3,-0.000,-0.001,1.818e-1
MTHFD2P3,-0.000,-0.001,1.818e-1
RP11-543D5.2,-0.000,-0.001,1.818e-1
CTC-461H2.3,-0.000,-0.001,1.818e-1
PRM1,-0.000,-0.001,1.818e-1
ENSG00000200294.1,-0.000,-0.001,1.818e-1
CTD-2275D10.2,-0.000,-0.001,1.818e-1
RPSAP64,-0.000,-0.001,1.818e-1
RNASE8,-0.000,-0.001,1.818e-1
ENSG00000252049.1,-0.000,-0.001,1.818e-1
MIR190B,-0.000,-0.001,1.818e-1
AC104308.2,-0.000,-0.001,1.818e-1
OR4P4,-0.000,-0.001,1.818e-1
SAR1AP2,-0.000,-0.001,1.818e-1
RRAS2P2,-0.000,-0.001,1.818e-1
CYMP-AS1,-0.000,-0.001,1.818e-1
MIR199A1,-0.000,-0.001,1.818e-1
RP11-289F5.1,-0.000,-0.001,1.818e-1
MIR3180-4_ENSG00000264115,-0.000,-0.001,1.818e-1
RP11-608B3.1,-0.000,-0.001,1.818e-1
AC084121.18,-0.000,-0.001,1.818e-1
IL36A,-0.000,-0.001,1.818e-1
RP11-479I16.2,-0.000,-0.001,1.818e-1
SNORD88C,-0.000,-0.001,1.818e-1
TAF5LP1,-0.000,-0.001,1.818e-1
DNAJB6P4,-0.000,-0.001,1.818e-1
CTD-2012K14.5,-0.000,-0.001,1.818e-1
AC011753.6,-0.000,-0.001,1.818e-1
FAM236A,-0.000,-0.001,1.818e-1
RNA5SP245,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000199424,-0.000,-0.001,1.818e-1
PAICSP2,-0.000,-0.001,1.818e-1
RP11-295D4.3,-0.000,-0.001,1.818e-1
RP11-927P21.8,-0.000,-0.001,1.818e-1
RP11-977P2.1,-0.000,-0.001,1.818e-1
AQP12A,-0.000,-0.001,1.818e-1
RN7SKP28,-0.000,-0.001,1.818e-1
RP11-1094M14.1,-0.000,-0.001,1.818e-1
RP11-234O23.2,-0.000,-0.001,1.818e-1
RP11-476M19.1,-0.000,-0.001,1.818e-1
OR2B7P,-0.000,-0.001,1.818e-1
RNU6-29P,-0.000,-0.001,1.818e-1
RP3-425C14.6,-0.000,-0.001,1.818e-1
MIR4739,-0.000,-0.001,1.818e-1
RNU6-169P,-0.000,-0.001,1.818e-1
MIR4718,-0.000,-0.001,1.818e-1
RP11-1C1.6,-0.000,-0.001,1.818e-1
SALL4P6,-0.000,-0.001,1.818e-1
MTCYBP16,-0.000,-0.001,1.818e-1
RP1-4G17.2,-0.000,-0.001,1.818e-1
OR5B17,-0.000,-0.001,1.818e-1
KRT18P56,-0.000,-0.001,1.818e-1
RN7SL478P,-0.000,-0.001,1.818e-1
RNU6-1198P,-0.000,-0.001,1.818e-1
AC012078.2,-0.000,-0.001,1.818e-1
AC078852.1,-0.000,-0.001,1.818e-1
CDRT15P12,-0.000,-0.001,1.818e-1
PPP1R26P5,-0.000,-0.001,1.818e-1
PPIAP66,-0.000,-0.001,1.818e-1
RP11-475D10.5,-0.000,-0.001,1.818e-1
RP1-161C16.1,-0.000,-0.001,1.818e-1
CTD-3018O17.5,-0.000,-0.001,1.818e-1
RP11-604N13.1,-0.000,-0.001,1.818e-1
RNA5SP137,-0.000,-0.001,1.818e-1
MIR4736,-0.000,-0.001,1.818e-1
RP4-758J24.6,-0.000,-0.001,1.818e-1
RN7SL41P,-0.000,-0.001,1.818e-1
AC012462.1,-0.000,-0.001,1.818e-1
KRTAP9-4,-0.000,-0.001,1.818e-1
AC099799.1,-0.000,-0.001,1.818e-1
OR5AC2,-0.000,-0.001,1.818e-1
RNU7-143P,-0.000,-0.001,1.818e-1
RNU6ATAC37P,-0.000,-0.001,1.818e-1
RNU6-276P,-0.000,-0.001,1.818e-1
SNORD115-36,-0.000,-0.001,1.818e-1
RNU2-44P,-0.000,-0.001,1.818e-1
OR51T1,-0.000,-0.001,1.818e-1
CTD-2526L21.3,-0.000,-0.001,1.818e-1
TRAJ2,-0.000,-0.001,1.818e-1
RP11-20F18.1,-0.000,-0.001,1.818e-1
RP13-977J11.3,-0.000,-0.001,1.818e-1
RNU1-18P,-0.000,-0.001,1.818e-1
IGHV1OR16-1,-0.000,-0.001,1.818e-1
RP11-790N8.1,-0.000,-0.001,1.818e-1
AL133243.4,-0.000,-0.001,1.818e-1
RP1-142L7.9,-0.000,-0.001,1.818e-1
CTD-2293H3.3,-0.000,-0.001,1.818e-1
RP11-560A7.1,-0.000,-0.001,1.818e-1
OR51A9P,-0.000,-0.001,1.818e-1
RP3-406C18.1,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000222658,-0.000,-0.001,1.818e-1
KB-1125A3.10,-0.000,-0.001,1.818e-1
MIR6735,-0.000,-0.001,1.818e-1
MIR148A,-0.000,-0.001,1.818e-1
TRAV23DV6,-0.000,-0.001,1.818e-1
ENSG00000201245.1,-0.000,-0.001,1.818e-1
RPLP0P7,-0.000,-0.001,1.818e-1
RP11-191L9.5,-0.000,-0.001,1.818e-1
OR2W5P,-0.000,-0.001,1.818e-1
AC097533.1,-0.000,-0.001,1.818e-1
OR5AK2,-0.000,-0.001,1.818e-1
RNA5SP148,-0.000,-0.001,1.818e-1
RP11-438H24.2,-0.000,-0.001,1.818e-1
RP11-243E13.3,-0.000,-0.001,1.818e-1
MTND2P13,-0.000,-0.001,1.818e-1
GPR152,-0.000,-0.001,1.818e-1
TRAV29DV5,-0.000,-0.001,1.818e-1
RNU6-626P,-0.000,-0.001,1.818e-1
LINC02874,-0.000,-0.001,1.818e-1
MIR409,-0.000,-0.001,1.818e-1
AC093642.1,-0.000,-0.001,1.818e-1
RNA5SP243,-0.000,-0.001,1.818e-1
EEF1A1P27,-0.000,-0.001,1.818e-1
AC012507.4,-0.000,-0.001,1.818e-1
RP11-505K9.6,-0.000,-0.001,1.818e-1
RP11-137D19.1,-0.000,-0.001,1.818e-1
AP000350.8,-0.000,-0.001,1.818e-1
MIR4655,-0.000,-0.001,1.818e-1
RNA5SP192,-0.000,-0.001,1.818e-1
RP5-836N17.4,-0.000,-0.001,1.818e-1
PGAM4P1,-0.000,-0.001,1.818e-1
GDF2,-0.000,-0.001,1.818e-1
CTD-2313F11.3,-0.000,-0.001,1.818e-1
AD001527.4,-0.000,-0.001,1.818e-1
RPL22P13,-0.000,-0.001,1.818e-1
TUBB7P,-0.000,-0.001,1.818e-1
Metazoa_SRP_ENSG00000276735,-0.000,-0.001,1.818e-1
RP11-665E10.1,-0.000,-0.001,1.818e-1
PABPC1P13,-0.000,-0.001,1.818e-1
RP11-77A13.1,-0.000,-0.001,1.818e-1
RNU6-1205P,-0.000,-0.001,1.818e-1
AC074389.5,-0.000,-0.001,1.818e-1
RP11-641A6.8,-0.000,-0.001,1.818e-1
RNU6-1273P,-0.000,-0.001,1.818e-1
RPSAP1,-0.000,-0.001,1.818e-1
RP11-572M11.2,-0.000,-0.001,1.818e-1
PRAL,-0.000,-0.001,1.818e-1
SEPTIN2P1,-0.000,-0.001,1.818e-1
RNU6-1075P,-0.000,-0.001,1.818e-1
OR52M2P,-0.000,-0.001,1.818e-1
RP11-262P9.1,-0.000,-0.001,1.818e-1
KRT8P8,-0.000,-0.001,1.818e-1
NFYCP1,-0.000,-0.001,1.818e-1
RNU6-972P,-0.000,-0.001,1.818e-1
FRGCA,-0.000,-0.001,1.818e-1
MTCO1P18,-0.000,-0.001,1.818e-1
RNU6-452P,-0.000,-0.001,1.818e-1
RNU6-167P,-0.000,-0.001,1.818e-1
CHCHD3P1,-0.000,-0.001,1.818e-1
MTND4P20,-0.000,-0.001,1.818e-1
RP11-255M6.1,-0.000,-0.001,1.818e-1
RP11-108K14.13,-0.000,-0.001,1.818e-1
SEPHS1P7,-0.000,-0.001,1.818e-1
RP11-1394O16.1,-0.000,-0.001,1.818e-1
RP11-114G11.4,-0.000,-0.001,1.818e-1
MIR3667,-0.000,-0.001,1.818e-1
RP11-429J17.5,-0.000,-0.001,1.818e-1
MTND4LP26,-0.000,-0.001,1.818e-1
HMGN2P36,-0.000,-0.001,1.818e-1
RP11-627K11.3,-0.000,-0.001,1.818e-1
RP3-477M7.5,-0.000,-0.001,1.818e-1
RPS29P13,-0.000,-0.001,1.818e-1
PDCL2P1,-0.000,-0.001,1.818e-1
CYP2A7P2,-0.000,-0.001,1.818e-1
CTD-2319I12.11,-0.000,-0.001,1.818e-1
AHCYP3,-0.000,-0.001,1.818e-1
MIR4784,-0.000,-0.001,1.818e-1
CYP3A52P,-0.000,-0.001,1.818e-1
RP3-471M13.2,-0.000,-0.001,1.818e-1
MIR6893,-0.000,-0.001,1.818e-1
CTBP2P3,-0.000,-0.001,1.818e-1
RNA5SP124,-0.000,-0.001,1.818e-1
RNU6-470P,-0.000,-0.001,1.818e-1
RNA5-8SP2,-0.000,-0.001,1.818e-1
RPS4XP18,-0.000,-0.001,1.818e-1
GUCA1ANB,-0.000,-0.001,1.818e-1
MAGEC2,-0.000,-0.001,1.818e-1
OR7A18P,-0.000,-0.001,1.818e-1
MIR3118-1,-0.000,-0.001,1.818e-1
MIR548H2,-0.000,-0.001,1.818e-1
RNU6-634P,-0.000,-0.001,1.818e-1
MIR4272,-0.000,-0.001,1.818e-1
RP11-108M9.3,-0.000,-0.001,1.818e-1
ZP3P2,-0.000,-0.001,1.818e-1
RP5-837G17.1,-0.000,-0.001,1.818e-1
RP11-849I19.2,-0.000,-0.001,1.818e-1
TTTY21,-0.000,-0.001,1.818e-1
OR4N5,-0.000,-0.001,1.818e-1
RP11-395G17.1,-0.000,-0.001,1.818e-1
MIR15A,-0.000,-0.001,1.818e-1
RP11-40G16.1,-0.000,-0.001,1.818e-1
RN7SKP211,-0.000,-0.001,1.818e-1
RP4-640E24.1,-0.000,-0.001,1.818e-1
H3P20,-0.000,-0.001,1.818e-1
XX-BC460O1.1,-0.000,-0.001,1.818e-1
RP3-332O11.2,-0.000,-0.001,1.818e-1
RPSAP63,-0.000,-0.001,1.818e-1
OR51H2P,-0.000,-0.001,1.818e-1
RNU6-644P,-0.000,-0.001,1.818e-1
RP4-669L17.8,-0.000,-0.001,1.818e-1
RPL5P31,-0.000,-0.001,1.818e-1
RNU6-966P,-0.000,-0.001,1.818e-1
MIR219B,-0.000,-0.001,1.818e-1
RP1-300I2.2,-0.000,-0.001,1.818e-1
TEKT4P3,-0.000,-0.001,1.818e-1
AC112229.6,-0.000,-0.001,1.818e-1
RNU7-79P,-0.000,-0.001,1.818e-1
RP11-462D18.4,-0.000,-0.001,1.818e-1
HSPE1P20,-0.000,-0.001,1.818e-1
DHFRP5,-0.000,-0.001,1.818e-1
RP11-6J24.3,-0.000,-0.001,1.818e-1
OR7E115P,-0.000,-0.001,1.818e-1
MIR4642,-0.000,-0.001,1.818e-1
RP11-826F13.1,-0.000,-0.001,1.818e-1
CH17-159N18.5,-0.000,-0.001,1.818e-1
RP11-315H12.1,-0.000,-0.001,1.818e-1
RP4-708P22.1,-0.000,-0.001,1.818e-1
RN7SL752P,-0.000,-0.001,1.818e-1
CTD-3187F8.7,-0.000,-0.001,1.818e-1
RP11-575F12.5,-0.000,-0.001,1.818e-1
CTC-550B14.1,-0.000,-0.001,1.818e-1
RP11-1195F20.7,-0.000,-0.001,1.818e-1
RN7SKP188,-0.000,-0.001,1.818e-1
SETP9,-0.000,-0.001,1.818e-1
RP11-57P19.1,-0.000,-0.001,1.818e-1
SERBP1P4,-0.000,-0.001,1.818e-1
RP1-76C18.1,-0.000,-0.001,1.818e-1
MTCO1P23,-0.000,-0.001,1.818e-1
RPL12P39,-0.000,-0.001,1.818e-1
KRT8P21,-0.000,-0.001,1.818e-1
RP11-332L11.1,-0.000,-0.001,1.818e-1
RNU6-463P,-0.000,-0.001,1.818e-1
MIR4281,-0.000,-0.001,1.818e-1
RP11-175I17.6,-0.000,-0.001,1.818e-1
KRTAP4-9,-0.000,-0.001,1.818e-1
Metazoa_SRP_ENSG00000276782,-0.000,-0.001,1.818e-1
MIR15B,-0.000,-0.001,1.818e-1
DRAXINP1,-0.000,-0.001,1.818e-1
AC114812.5,-0.000,-0.001,1.818e-1
RP11-486O13.3,-0.000,-0.001,1.818e-1
RBMXP1,-0.000,-0.001,1.818e-1
MIR6749,-0.000,-0.001,1.818e-1
RNA5SP431,-0.000,-0.001,1.818e-1
GS1-174L6.5,-0.000,-0.001,1.818e-1
RNY3P16,-0.000,-0.001,1.818e-1
UGT1A13P,-0.000,-0.001,1.818e-1
RPL12P50,-0.000,-0.001,1.818e-1
RP11-65B23.5,-0.000,-0.001,1.818e-1
RP5-876B10.6,-0.000,-0.001,1.818e-1
RN7SKP149,-0.000,-0.001,1.818e-1
AC009310.1,-0.000,-0.001,1.818e-1
AC009299.4,-0.000,-0.001,1.818e-1
IFITM5,-0.000,-0.001,1.818e-1
WARS2P1,-0.000,-0.001,1.818e-1
OR7E99P,-0.000,-0.001,1.818e-1
RPL23AP61,-0.000,-0.001,1.818e-1
OR5J2,-0.000,-0.001,1.818e-1
TAS2R12,-0.000,-0.001,1.818e-1
TBC1D3P4,-0.000,-0.001,1.818e-1
RP11-588F10.1,-0.000,-0.001,1.818e-1
RP11-239E10.2,-0.000,-0.001,1.818e-1
RNA5SP339,-0.000,-0.001,1.818e-1
MIR1238,-0.000,-0.001,1.818e-1
RNU6-478P,-0.000,-0.001,1.818e-1
RPL17P2,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000222509,-0.000,-0.001,1.818e-1
MIR371A,-0.000,-0.001,1.818e-1
RP11-54O7.18,-0.000,-0.001,1.818e-1
MIR1261,-0.000,-0.001,1.818e-1
C1QL1P1,-0.000,-0.001,1.818e-1
CTB-158E9.1,-0.000,-0.001,1.818e-1
MIR548AO,-0.000,-0.001,1.818e-1
RP4-781B1.5,-0.000,-0.001,1.818e-1
OR7A8P,-0.000,-0.001,1.818e-1
RP11-350D17.3,-0.000,-0.001,1.818e-1
RP11-161M6.6,-0.000,-0.001,1.818e-1
Metazoa_SRP_ENSG00000277740,-0.000,-0.001,1.818e-1
CRTC1P1,-0.000,-0.001,1.818e-1
RNU4-7P,-0.000,-0.001,1.818e-1
RPL31P57,-0.000,-0.001,1.818e-1
SNORD3C,-0.000,-0.001,1.818e-1
RNU6-1159P,-0.000,-0.001,1.818e-1
RP11-566K19.8,-0.000,-0.001,1.818e-1
RNU6-739P,-0.000,-0.001,1.818e-1
RP11-359E8.3,-0.000,-0.001,1.818e-1
RP13-126P21.3,-0.000,-0.001,1.818e-1
RP11-380M21.1,-0.000,-0.001,1.818e-1
RP11-46E17.9,-0.000,-0.001,1.818e-1
ZNF736P7Y,-0.000,-0.001,1.818e-1
OR5F1,-0.000,-0.001,1.818e-1
ASS1P5,-0.000,-0.001,1.818e-1
RN7SKP116,-0.000,-0.001,1.818e-1
RN7SL380P,-0.000,-0.001,1.818e-1
UBL5P3,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000206741,-0.000,-0.001,1.818e-1
RP11-286N22.6,-0.000,-0.001,1.818e-1
TRAJ16,-0.000,-0.001,1.818e-1
PRR23D3P,-0.000,-0.001,1.818e-1
PPIAP44,-0.000,-0.001,1.818e-1
Metazoa_SRP_ENSG00000278459,-0.000,-0.001,1.818e-1
RP13-526J3.1,-0.000,-0.001,1.818e-1
MIR219A2,-0.000,-0.001,1.818e-1
RN7SKP39,-0.000,-0.001,1.818e-1
NMD3P2,-0.000,-0.001,1.818e-1
RP11-227D13.2,-0.000,-0.001,1.818e-1
SNORD115-18,-0.000,-0.001,1.818e-1
LA16c-431H6.7,-0.000,-0.001,1.818e-1
RP11-1094M14.10,-0.000,-0.001,1.818e-1
CTC-260E6.3,-0.000,-0.001,1.818e-1
RP11-934B9.3,-0.000,-0.001,1.818e-1
MTCO2P24,-0.000,-0.001,1.818e-1
RP11-635L1.2,-0.000,-0.001,1.818e-1
RP11-779O18.4,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000200361,-0.000,-0.001,1.818e-1
PPIAP7,-0.000,-0.001,1.818e-1
RN7SL554P,-0.000,-0.001,1.818e-1
RP11-357F12.2,-0.000,-0.001,1.818e-1
RNU6-714P,-0.000,-0.001,1.818e-1
RPL24P9,-0.000,-0.001,1.818e-1
RNU6-337P,-0.000,-0.001,1.818e-1
OR4K8P,-0.000,-0.001,1.818e-1
CTD-2026D23.1,-0.000,-0.001,1.818e-1
CTD-2576N18.1,-0.000,-0.001,1.818e-1
ABCD1P4,-0.000,-0.001,1.818e-1
RP11-293A10.3,-0.000,-0.001,1.818e-1
AC010967.1,-0.000,-0.001,1.818e-1
RP11-457I16.4,-0.000,-0.001,1.818e-1
IGKV1OR2-108,-0.000,-0.001,1.818e-1
MIR3910-1,-0.000,-0.001,1.818e-1
RNU6-973P,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000206738,-0.000,-0.001,1.818e-1
RNU6-1031P,-0.000,-0.001,1.818e-1
AKR1B1P7,-0.000,-0.001,1.818e-1
RP11-774G5.1,-0.000,-0.001,1.818e-1
HPRT1P2,-0.000,-0.001,1.818e-1
CDKN2AIPNLP2,-0.000,-0.001,1.818e-1
RNU6-217P,-0.000,-0.001,1.818e-1
RP11-81G4.1,-0.000,-0.001,1.818e-1
RN7SKP143,-0.000,-0.001,1.818e-1
RNU6-291P,-0.000,-0.001,1.818e-1
AC109631.1,-0.000,-0.001,1.818e-1
RP11-21K12.2,-0.000,-0.001,1.818e-1
ST13P21,-0.000,-0.001,1.818e-1
COX6B1P2,-0.000,-0.001,1.818e-1
MIR6821,-0.000,-0.001,1.818e-1
AC138472.4,-0.000,-0.001,1.818e-1
UQCRHP4,-0.000,-0.001,1.818e-1
OR2A1,-0.000,-0.001,1.818e-1
RNU7-53P,-0.000,-0.001,1.818e-1
RP11-934B9.9,-0.000,-0.001,1.818e-1
KRTAP4-4,-0.000,-0.001,1.818e-1
CST11,-0.000,-0.001,1.818e-1
RP11-747H12.8,-0.000,-0.001,1.818e-1
PSMC1P11,-0.000,-0.001,1.818e-1
RNU4-26P,-0.000,-0.001,1.818e-1
RP3-412A9.15,-0.000,-0.001,1.818e-1
RP11-313I2.5,-0.000,-0.001,1.818e-1
AC138517.5,-0.000,-0.001,1.818e-1
CTD-2329C7.2,-0.000,-0.001,1.818e-1
RP11-21C4.4,-0.000,-0.001,1.818e-1
CICP11,-0.000,-0.001,1.818e-1
TUBAP8,-0.000,-0.001,1.818e-1
C4A-AS1,-0.000,-0.001,1.818e-1
RN7SKP270,-0.000,-0.001,1.818e-1
CTC-571O20.3,-0.000,-0.001,1.818e-1
RP11-753A21.2,-0.000,-0.001,1.818e-1
CTB-31C7.3,-0.000,-0.001,1.818e-1
OR4X1,-0.000,-0.001,1.818e-1
LCE3E,-0.000,-0.001,1.818e-1
RP11-100F15.1,-0.000,-0.001,1.818e-1
MTCO1P21,-0.000,-0.001,1.818e-1
RP11-69H7.4,-0.000,-0.001,1.818e-1
TUBB8P9,-0.000,-0.001,1.818e-1
CHCHD2P7,-0.000,-0.001,1.818e-1
OR4K14,-0.000,-0.001,1.818e-1
RP11-533N14.3,-0.000,-0.001,1.818e-1
RP11-130N24.2,-0.000,-0.001,1.818e-1
RP11-838I13.5,-0.000,-0.001,1.818e-1
RP11-227L6.1,-0.000,-0.001,1.818e-1
RP11-629D22.1,-0.000,-0.001,1.818e-1
RP11-81K2.2,-0.000,-0.001,1.818e-1
RP11-87N16.1,-0.000,-0.001,1.818e-1
OR7A2P,-0.000,-0.001,1.818e-1
RPS29P25,-0.000,-0.001,1.818e-1
RPL5P29,-0.000,-0.001,1.818e-1
RP11-35J1.2,-0.000,-0.001,1.818e-1
TMEM230P2,-0.000,-0.001,1.818e-1
RP11-810P12.6,-0.000,-0.001,1.818e-1
RN7SL259P,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000207091,-0.000,-0.001,1.818e-1
RP11-340I6.4,-0.000,-0.001,1.818e-1
MIR4721,-0.000,-0.001,1.818e-1
RNY4P37,-0.000,-0.001,1.818e-1
PVRIG2P,-0.000,-0.001,1.818e-1
CTD-2561B21.3,-0.000,-0.001,1.818e-1
NCKAP1P1,-0.000,-0.001,1.818e-1
PRR32,-0.000,-0.001,1.818e-1
HCG4P11,-0.000,-0.001,1.818e-1
CTD-2503O16.3,-0.000,-0.001,1.818e-1
MRPS11P1,-0.000,-0.001,1.818e-1
RP11-595O22.1,-0.000,-0.001,1.818e-1
RP5-872K7.8,-0.000,-0.001,1.818e-1
CTC-436K13.4,-0.000,-0.001,1.818e-1
MIR3910-2,-0.000,-0.001,1.818e-1
NDUFAF4P2,-0.000,-0.001,1.818e-1
RARRES2P2,-0.000,-0.001,1.818e-1
RN7SL454P,-0.000,-0.001,1.818e-1
TRAJ43,-0.000,-0.001,1.818e-1
TRIM64C,-0.000,-0.001,1.818e-1
AC119403.1,-0.000,-0.001,1.818e-1
KRTAP2-3,-0.000,-0.001,1.818e-1
U3_ENSG00000201346,-0.000,-0.001,1.818e-1
MIR4475,-0.000,-0.001,1.818e-1
RP11-36I17.2,-0.000,-0.001,1.818e-1
RP11-290K4.1,-0.000,-0.001,1.818e-1
RNU6-722P,-0.000,-0.001,1.818e-1
RP11-149P14.2,-0.000,-0.001,1.818e-1
MIR4696,-0.000,-0.001,1.818e-1
AC092066.1,-0.000,-0.001,1.818e-1
MIR27A,-0.000,-0.001,1.818e-1
OR4N4,-0.000,-0.001,1.818e-1
MTND6P2,-0.000,-0.001,1.818e-1
RP11-403A3.2,-0.000,-0.001,1.818e-1
AC004920.2,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000200884,-0.000,-0.001,1.818e-1
RNU6-822P,-0.000,-0.001,1.818e-1
EFL1P2,-0.000,-0.001,1.818e-1
Metazoa_SRP_ENSG00000268154,-0.000,-0.001,1.818e-1
RNU6-392P,-0.000,-0.001,1.818e-1
RP11-503G7.2,-0.000,-0.001,1.818e-1
MRGPRX10P,-0.000,-0.001,1.818e-1
RP11-144H23.2,-0.000,-0.001,1.818e-1
SPATA20P1,-0.000,-0.001,1.818e-1
RP11-118E9.1,-0.000,-0.001,1.818e-1
GAPDHP56,-0.000,-0.001,1.818e-1
RNU7-193P,-0.000,-0.001,1.818e-1
RP5-1193P9.4,-0.000,-0.001,1.818e-1
RP4-756H11.4,-0.000,-0.001,1.818e-1
MIR7153,-0.000,-0.001,1.818e-1
RP11-197N18.8,-0.000,-0.001,1.818e-1
RN7SL176P,-0.000,-0.001,1.818e-1
RP11-681L4.4,-0.000,-0.001,1.818e-1
RP11-726G23.3,-0.000,-0.001,1.818e-1
CTSG,-0.000,-0.001,1.818e-1
RP11-93B21.1,-0.000,-0.001,1.818e-1
RP11-481J8.3,-0.000,-0.001,1.818e-1
RP1-81D8.5,-0.000,-0.001,1.818e-1
RRN3P4,-0.000,-0.001,1.818e-1
TSEN15P2,-0.000,-0.001,1.818e-1
RNU2-9P,-0.000,-0.001,1.818e-1
RN7SL584P,-0.000,-0.001,1.818e-1
MIR6881,-0.000,-0.001,1.818e-1
CH17-125A10.1,-0.000,-0.001,1.818e-1
Y_RNA_ENSG00000202190,-0.000,-0.001,1.818e-1
RP11-478H13.1,-0.000,-0.001,1.818e-1
ENSG00000212624.1,-0.000,-0.001,1.818e-1
RNA5-8SP6,-0.000,-0.001,1.818e-1
GAGE12J,-0.000,-0.001,1.818e-1
KRT19P6,-0.000,-0.001,1.818e-1
RP1-101G11.2,-0.000,-0.001,1.818e-1
RP11-546D6.3,-0.000,-0.001,1.818e-1
MIR378G,-0.000,-0.001,1.818e-1
RP11-560A15.7,-0.000,-0.001,1.818e-1
RP11-331F9.3,-0.000,-0.001,1.818e-1
RP5-1142A6.7,-0.000,-0.001,1.818e-1
RP11-386I8.5,-0.000,-0.001,1.818e-1
RP11-97I14.1,-0.000,-0.001,1.818e-1
OR4F21,-0.000,-0.001,1.818e-1
CDKN2A-DT,-0.000,-0.001,1.818e-1
MIR6729,-0.000,-0.001,1.818e-1
RN7SL727P,-0.000,-0.001,1.818e-1
MTCYBP31,-0.000,-0.001,1.818e-1
MIR7114,-0.000,-0.001,1.818e-1
RPA3P1,-0.000,-0.001,1.818e-1
RP11-222N13.3,-0.000,-0.001,1.818e-1
SNORD115-3,-0.000,-0.001,1.818e-1
ENSG00000274915.1,-0.000,-0.001,1.818e-1
